Ind	Lon	Lat
Bsyl_533	33.7	53.9
Bsyl_534	8.7	44.8
Bsyl_535	15.5	46.9
Bsyl_536	14.5	46.6
Bsyl_537	14.7	47.7
Bsyl_538	13.6	45.2
Bsyl_539	-7.4	54.2
Bsyl_540	-4.9	50.6
Bsyl_541	-1.4	52.1
Bsyl_542	-0.6	52.5
Bsyl_543	-0.1	52.1
Bsyl_544	37	55.4
Bsyl_545	-5.6	55.3
Bsyl_546	-6.2	58.4
Bsyl_547	-7.3	57.5
Bsyl_548	6.6	44.9
Bsyl_549	-1.9	37
Bsyl_550	-4.4	37.5
Bsyl_551	-4.9	38.6
Bsyl_552	7.6	58.7
Bsyl_553	8.8	58.7
Bsyl_554	10.7	59.5
Bsyl_555	5.2	62.1
Bsyl_556	7	62.9
Bsyl_557	5.7	59
Bsyl_558	8.4	59.4
Bsyl_559	-6.4	42.2
Bsyl_560	-8.3	43.1
Bsyl_561	-2.6	38.6
Bsyl_562	-2	38.5
Bsyl_563	-0.4	40.5
Bsyl_564	-4	41.8
Bsyl_565	-2.6	40.5
Bsyl_566	-6.6	43
Bsyl_567	-3.4	42.8
Bsyl_568	-7.2	43.2
Bsyl_569	-5.7	40.1
Bsyl_570	-2.7	41.1
Bsyl_571	-5.5	42.5
Bsyl_572	-8.8	41.9
Bsyl_573	-8.6	42.5
Bsyl_574	-4.9	42.9
Bsyl_575	-6.6	41.2
Bsyl_576	-3	42.3
Bsyl_577	-2.1	39.5
Bsyl_578	-4.1	36.9
Bsyl_579	-6.5	37.6
Bsyl_580	-3.3	41.1
Bsyl_581	-4	40.4
Bsyl_582	-7.6	43.6
Bsyl_583	-9.1	42.8
Bsyl_584	1.5	39
Bsyl_585	-6.4	39.9
Bsyl_586	-1.2	42.7
Bsyl_587	-1.8	42.4
Bsyl_588	-5.4	40.9
Bsyl_589	-3.1	41.8
Bsyl_590	0	42.4
Bsyl_591	-1.9	40.9
Bsyl_592	-6.3	38.1
Bsyl_593	-5.4	36.2
Bsyl_594	-5.3	39.5
Bsyl_595	-5.2	43.4
Bsyl_596	-3.3	40.5
Bsyl_597	-7.9	38.5
Bsyl_598	-2	40.1
Bsyl_599	-5.3	41.5
Bsyl_600	-4.5	39.4
Bsyl_601	-3.7	43.4
Bsyl_602	-5.5	36.8
Bsyl_603	-6.1	40.6
Bsyl_604	-1.7	43.3
Bsyl_605	6.2	43
Bsyl_606	4.6	44.9
Bsyl_607	40.5	40.8
Bsyl_608	-5.8	56.2
